"Film","Movie.Genre","Award","Year_of_Release","IMDB_Votes","IMDB.Rating","Movie.Time"
"Born on the Fourth of July","Biography,Drama,War","Nominee",1989,"101,778",7.2,145
"Dead Poets Society","Comedy,Drama","Nominee",1989,"446,811",8.1,128
"Field of Dreams","Drama,Family,Fantasy","Nominee",1989,"113,841",7.5,107
"My Left Foot","Biography,Drama","Nominee",1989,"71,014",7.9,103
"Dances with Wolves","Adventure,Drama,Western","Winner",1990,"249,524",8,181
"Awakenings","Biography,Drama","Nominee",1990,"132,136",7.8,121
"Ghost","Drama,Fantasy,Romance","Nominee",1990,"204,848",7.1,127
"The Godfather Part III","Crime,Drama","Nominee",1990,"373,892",7.6,162
"Goodfellas","Biography,Crime,Drama","Nominee",1990,"1,065,109",8.7,146
"The Silence of the Lambs","Crime,Drama,Thriller","Winner",1991,"1,326,186",8.6,118
"Beauty and the Beast","Animation,Family,Fantasy","Nominee",1991,"427,333",8,84
"Bugsy","Biography,Crime,Drama","Nominee",1991,"27,635",6.8,136
"JFK","Drama,History,Thriller","Nominee",1991,"147,893",8,189
"The Prince of Tides","Drama,Romance","Nominee",1991,"17,342",6.7,132
"Unforgiven","Drama,Western","Winner",1992,"390,280",8.2,130
"The Crying Game","Crime,Drama,Romance","Nominee",1992,"53,289",7.3,112
"A Few Good Men","Drama,Thriller","Nominee",1992,"245,903",7.7,138
"Howards End","Drama,Romance","Nominee",1992,"30,508",7.4,142
"Scent of a Woman","Drama","Nominee",1992,"277,333",8,156
"Schindler's List","Biography,Drama,History","Winner",1993,"1,261,563",8.9,195
"The Fugitive","Action,Crime,Drama","Nominee",1993,"278,006",7.8,130
"In the Name of the Father","Biography,Crime,Drama","Nominee",1993,"165,134",8.1,133
"The Piano","Drama,Music,Romance","Nominee",1993,"81,749",7.6,121
"The Remains of the Day","Drama,Romance","Nominee",1993,"69,613",7.8,134
"Forrest Gump","Drama,Romance","Winner",1994,"1,895,991",8.8,142
"Four Weddings and a Funeral","Comedy,Drama,Romance","Nominee",1994,"145,046",7.1,117
"Pulp Fiction","Crime,Drama","Nominee",1994,"1,900,918",8.9,154
"Quiz Show","Biography,Drama,History","Nominee",1994,"66,948",7.5,133
"The Shawshank Redemption","Drama","Nominee",1994,"2,452,594",9.3,142
"Braveheart","Biography,Drama,History","Winner",1995,"986,016",8.3,178
"Apollo 13","Adventure,Drama,History","Nominee",1995,"279,684",7.6,140
"Babe","Comedy,Drama,Family","Nominee",1995,"120,428",6.8,91
"The Postman (Il Postino)","Biography,Comedy,Drama","Nominee",1994,"34,974",7.7,108
"Sense and Sensibility","Drama,Romance","Nominee",1995,"108,657",7.7,136
"The English Patient","Drama,Romance,War","Winner",1996,"183,677",7.4,162
"Fargo","Crime,Drama,Thriller","Nominee",1996,"641,314",8.1,98
"Jerry Maguire","Comedy,Drama,Romance","Nominee",1996,"251,072",7.3,139
"Secrets & Lies","Comedy,Drama","Nominee",1996,"41,079",8,136
"Shine","Biography,Drama,Music","Nominee",1996,"52,751",7.7,105
"Titanic","Drama,Romance","Winner",1997,"1,089,044",7.8,194
"As Good as It Gets","Comedy,Drama,Romance","Nominee",1997,"285,908",7.7,139
"The Full Monty","Comedy,Drama","Nominee",1997,"102,282",7.2,91
"Good Will Hunting","Drama,Romance","Nominee",1997,"896,929",8.3,126
"L.A. Confidential","Crime,Drama,Mystery","Nominee",1997,"550,162",8.2,138
"Shakespeare in Love","Comedy,Drama,History","Winner",1998,"218,538",7.1,123
"Elizabeth","Biography,Drama,History","Nominee",1998,"95,572",7.4,124
"Life Is Beautiful","Comedy,Drama,Romance","Nominee",1997,"649,390",8.6,116
"Saving Private Ryan","Drama,War","Nominee",1998,"1,287,001",8.6,169
"The Thin Red Line","Drama,War","Nominee",1998,"179,626",7.6,170
"American Beauty","Drama","Winner",1999,"1,101,496",8.3,122
"The Cider House Rules","Drama,Romance","Nominee",1999,"95,629",7.4,126
"The Green Mile","Crime,Drama,Fantasy","Nominee",1999,"1,198,434",8.6,189
"The Insider","Biography,Drama,Thriller","Nominee",1999,"165,522",7.8,157
"The Sixth Sense","Drama,Mystery,Thriller","Nominee",1999,"939,659",8.1,107
"Gladiator","Action,Adventure,Drama","Winner",2000,"1,393,352",8.5,155
"Chocolat","Drama,Romance","Nominee",2000,"183,002",7.2,121
"Crouching Tiger, Hidden Dragon","Action,Adventure,Fantasy","Nominee",2000,"259,991",7.8,120
"Erin Brockovich","Biography,Drama","Nominee",2000,"184,808",7.4,131
"Traffic","Crime,Drama,Thriller","Nominee",2000,"201,093",7.6,147
"A Beautiful Mind","Biography,Drama","Winner",2001,"878,511",8.2,135
"Gosford Park","Comedy,Drama,Mystery","Nominee",2001,"83,531",7.2,131
"In the Bedroom","Crime,Drama","Nominee",2001,"39,427",7.4,131
"The Lord of the Rings: The Fellowship of the Ring","Action,Adventure,Drama","Nominee",2001,"1,724,755",8.8,178
"Moulin Rouge!","Drama,Musical,Romance","Nominee",2001,"273,077",7.6,127
"Chicago","Comedy,Crime,Musical","Winner",2002,"221,622",7.2,113
"Gangs of New York","Crime,Drama","Nominee",2002,"418,948",7.5,167
"The Hours","Drama,Romance","Nominee",2002,"127,773",7.5,110
"The Lord of the Rings: The Two Towers","Action,Adventure,Drama","Nominee",2002,"1,540,135",8.7,179
"The Pianist","Biography,Drama,Music","Nominee",2002,"766,841",8.5,150
"The Lord of the Rings: The Return of the King","Action,Adventure,Drama","Winner",2003,"1,703,481",8.9,201
"Lost in Translation","Comedy,Drama","Nominee",2003,"431,381",7.7,102
"Master and Commander: The Far Side of the World","Action,Adventure,Drama","Nominee",2003,"210,599",7.4,138
"Mystic River","Crime,Drama,Mystery","Nominee",2003,"435,337",7.9,138
"Seabiscuit","Drama,History,Sport","Nominee",2003,"70,147",7.3,140
"Million Dollar Baby","Drama,Sport","Winner",2004,"655,679",8.1,132
"The Aviator","Biography,Drama","Nominee",2004,"344,901",7.5,170
"Finding Neverland","Biography,Drama,Family","Nominee",2004,"202,139",7.7,106
"Ray","Biography,Drama,Music","Nominee",2004,"142,545",7.7,152
"Sideways","Comedy,Drama,Romance","Nominee",2004,"184,511",7.5,127
"Crash","Crime,Drama,Thriller","Winner",2004,"426,775",7.7,112
"Brokeback Mountain","Drama,Romance","Nominee",2005,"337,000",7.7,134
"Capote","Biography,Crime,Drama","Nominee",2005,"128,822",7.3,114
"Good Night, and Good Luck","Biography,Drama,History","Nominee",2005,"95,865",7.4,93
"Munich","Action,Drama,History","Nominee",2005,"218,462",7.5,164
"The Departed","Crime,Drama,Thriller","Winner",2006,"1,235,906",8.5,151
"Babel","Drama","Nominee",2006,"295,061",7.4,143
"Letters from Iwo Jima","Action,Adventure,Drama","Nominee",2006,"157,732",7.9,141
"Little Miss Sunshine","Comedy,Drama","Nominee",2006,"453,506",7.8,101
"The Queen","Biography,Drama,History","Nominee",2006,"107,000",7.3,103
"No Country for Old Men","Crime,Drama,Thriller","Winner",2007,"896,630",8.1,122
"Atonement","Drama,Mystery,Romance","Nominee",2007,"261,609",7.8,123
"Juno","Comedy,Drama","Nominee",2007,"502,296",7.4,96
"Michael Clayton","Crime,Drama,Mystery","Nominee",2007,"160,164",7.2,119
"There Will Be Blood","Drama","Nominee",2007,"542,278",8.2,158
"Slumdog Millionaire","Drama,Romance","Winner",2008,"816,485",8,120
"The Curious Case of Benjamin Button","Drama,Fantasy,Romance","Nominee",2008,"611,518",7.8,166
"Frost/Nixon","Biography,Drama,History","Nominee",2008,"105,602",7.7,122
"Milk","Biography,Drama","Nominee",2008,"168,756",7.5,128
"The Reader","Drama,Romance","Nominee",2008,"235,605",7.6,124
"The Hurt Locker","Drama,Thriller,War","Winner",2008,"433,326",7.5,131
"Avatar","Action,Adventure,Fantasy","Nominee",2009,"1,153,124",7.8,162
"The Blind Side","Biography,Drama,Sport","Nominee",2009,"305,982",7.6,129
"District 9","Action,Sci-Fi,Thriller","Nominee",2009,"653,215",7.9,112
"An Education","Drama","Nominee",2009,"131,326",7.3,100
"Inglourious Basterds","Adventure,Drama,War","Nominee",2009,"1,326,791",8.3,153
"Precious: Based on the Novel 'Push' by Sapphire","Drama","Nominee",2009,"107,998",7.3,110
"A Serious Man","Comedy,Drama","Nominee",2009,"137,770",7.1,106
"Up","Animation,Adventure,Comedy","Nominee",2009,"971,845",8.2,96
"Up in the Air","Comedy,Drama,Romance","Nominee",2009,"325,743",7.4,109
"The King's Speech","Biography,Drama,History","Winner",2010,"655,187",8,118
"127 Hours","Biography,Drama","Nominee",2010,"359,243",7.5,94
"Black Swan","Drama,Thriller","Nominee",2010,"721,688",8,108
"The Fighter","Biography,Drama,Sport","Nominee",2010,"350,469",7.8,116
"Inception","Action,Adventure,Sci-Fi","Nominee",2010,"2,160,498",8.8,148
"The Kids Are All Right","Comedy,Drama,Romance","Nominee",2010,"127,959",7,106
"The Social Network","Biography,Drama","Nominee",2010,"651,516",7.7,120
"Toy Story 3","Animation,Adventure,Comedy","Nominee",2010,"783,665",8.2,103
"True Grit","Drama,Western","Nominee",2010,"322,030",7.6,110
"Winter's Bone","Drama,Mystery","Nominee",2010,"138,998",7.2,100
"The Artist","Comedy,Drama,Romance","Winner",2011,"235,457",7.9,100
"The Descendants","Comedy,Drama","Nominee",2011,"236,381",7.3,115
"Extremely Loud & Incredibly Close","Adventure,Drama,Mystery","Nominee",2011,"99,514",6.9,129
"The Help","Drama","Nominee",2011,"438,666",8,146
"Hugo","Drama,Family,Fantasy","Nominee",2011,"312,181",7.5,126
"Midnight in Paris","Comedy,Fantasy,Romance","Nominee",2011,"401,524",7.7,94
"Moneyball","Biography,Drama,Sport","Nominee",2011,"389,329",7.6,133
"The Tree of Life","Drama,Fantasy","Nominee",2011,"171,734",6.8,139
"War Horse","Action,Adventure,Drama","Nominee",2011,"151,533",7.2,146
"Argo","Biography,Drama,Thriller","Winner",2012,"588,984",7.7,120
"Amour","Drama","Nominee",2012,"96,258",7.9,127
"Beasts of the Southern Wild","Adventure,Drama,Fantasy","Nominee",2012,"82,051",7.3,93
"Django Unchained","Drama,Western","Nominee",2012,"1,420,092",8.4,165
"Life of Pi","Adventure,Drama,Fantasy","Nominee",2012,"598,436",7.9,127
"Lincoln","Crime,Drama,Mystery","Nominee",2011,"223,752",7.3,118
"Les Misérables","Drama,History,Musical","Nominee",2012,"317,030",7.6,158
"Silver Linings Playbook","Comedy,Drama,Romance","Nominee",2012,"679,022",7.7,122
"Zero Dark Thirty","Drama,History,Thriller","Nominee",2012,"283,119",7.4,157
"12 Years a Slave","Biography,Drama,History","Winner",2013,"662,741",8.1,134
"American Hustle","Crime,Drama","Nominee",2013,"460,918",7.2,138
"Captain Phillips","Adventure,Biography,Crime","Nominee",2013,"436,364",7.8,134
"Dallas Buyers Club","Biography,Drama","Nominee",2013,"459,404",8,117
"Gravity","Drama,Sci-Fi,Thriller","Nominee",2013,"789,470",7.7,91
"Her","Drama,Romance,Sci-Fi","Nominee",2013,"565,149",8,126
"Nebraska","Adventure,Comedy,Drama","Nominee",2013,"115,031",7.7,115
"Philomena","Biography,Comedy,Drama","Nominee",2013,"96,771",7.6,98
"The Wolf of Wall Street","Biography,Crime,Drama","Nominee",2013,"1,257,166",8.2,180
"Birdman or (The Unexpected Virtue of Ignorance)","Comedy,Drama","Winner",2014,"599,240",7.7,119
"American Sniper","Action,Biography,Drama","Nominee",2014,"455,885",7.3,133
"Boyhood","Drama","Nominee",2014,"343,822",7.9,165
"The Grand Budapest Hotel","Adventure,Comedy,Crime","Nominee",2014,"741,950",8.1,99
"The Imitation Game","Biography,Drama,Thriller","Nominee",2014,"714,452",8,114
"Selma","Biography,Drama,History","Nominee",2014,"89,059",7.5,128
"The Theory of Everything","Biography,Drama,Romance","Nominee",2014,"421,764",7.7,123
"Whiplash","Drama,Music","Nominee",2014,"758,911",8.5,106
"Spotlight","Biography,Crime,Drama","Winner",2015,"440,413",8.1,129
"The Big Short","Biography,Comedy,Drama","Nominee",2015,"387,192",7.8,130
"Bridge of Spies","Drama,History,Thriller","Nominee",2015,"298,091",7.6,142
"Brooklyn","Drama,Romance","Nominee",2015,"135,972",7.5,117
"Mad Max: Fury Road","Action,Adventure,Sci-Fi","Nominee",2015,"922,840",8.1,120
"The Martian","Adventure,Drama,Sci-Fi","Nominee",2015,"791,919",8,144
"The Revenant","Action,Adventure,Drama","Nominee",2015,"738,208",8,156
"Room","Drama,Thriller","Nominee",2015,"391,182",8.1,118
"Moonlight","Drama","Winner",2016,"287,563",7.4,111
"Arrival","Drama,Sci-Fi","Nominee",2016,"629,568",7.9,116
"Fences","Drama","Nominee",2016,"102,639",7.2,139
"Hacksaw Ridge","Biography,Drama,History","Nominee",2016,"464,504",8.1,139
"Hell or High Water","Action,Crime,Drama","Nominee",2016,"213,325",7.6,102
"Hidden Figures","Biography,Drama,History","Nominee",2016,"211,233",7.8,127
"La La Land","Comedy,Drama,Music","Nominee",2016,"534,405",8,128
"Lion","Biography,Drama","Nominee",2016,"223,804",8,118
"Manchester by the Sea","Drama","Nominee",2016,"260,159",7.8,137
"The Shape of Water","Adventure,Drama,Fantasy","Winner",2017,"391,523",7.3,123
"Call Me by Your Name","Drama,Romance","Nominee",2017,"234,177",7.9,132
"Darkest Hour","Biography,Drama,History","Nominee",2017,"184,502",7.4,125
"Dunkirk","Action,Drama,History","Nominee",2017,"591,901",7.8,106
"Get Out","Horror,Mystery,Thriller","Nominee",2017,"526,587",7.7,104
"Lady Bird","Comedy,Drama","Nominee",2017,"258,867",7.4,94
"Phantom Thread","Drama,Romance","Nominee",2017,"119,413",7.5,130
"The Post","Drama","Nominee",2017,"142,630",7.2,116
"Three Billboards Outside Ebbing, Missouri","Comedy,Crime,Drama","Nominee",2017,"463,268",8.1,115
"Green Book","Biography,Comedy,Drama","Winner",2018,"422,669",8.2,130
"Black Panther","Action,Adventure,Sci-Fi","Nominee",2018,"671,956",7.3,134
"BlacKkKlansman","Biography,Comedy,Crime","Nominee",2018,"240,028",7.5,135
"Bohemian Rhapsody","Biography,Drama,Music","Nominee",2018,"482,597",7.9,134
"The Favourite","Biography,Comedy,Drama","Nominee",2018,"183,744",7.5,119
"Roma","Drama","Nominee",2018,"147,705",7.7,135
"A Star Is Born","Drama,Music,Romance","Nominee",2018,"354,157",7.6,136
"Vice","Biography,Comdey,Drama","Nominee",2018,"132,014",7.2,132
"Parasite","Comedy,Drama,Thriller","Winner",2019,"651,517",8.6,132
"1917","Action,Drama,War","Nominee",2019,"485,648",8.3,119
"Ford v Ferrari","Action,Biography,Drama","Nominee",2019,"331,665",8.1,152
"The Irishman","Biography,Crime,Drama","Nominee",2019,"349,303",7.8,209
"Jojo Rabbit","Comedy,Drama,War","Nominee",2019,"335,856",7.9,108
"Joker","Crime,Drama,Thriller","Nominee",2019,"1,056,051",8.4,122
"Little Women","Drama,Romance","Nominee",2019,"163,410",7.8,135
"Marriage Story","Comedy,Drama,Romance","Nominee",2019,"270,304",7.9,137
"Once Upon a Time in Hollywood","Comedy,Drama","Nominee",2019,"628,233",7.6,161
"Nomadland","Drama","Nominee",2020,"123,041",7.4,107
"The Father","Drama","Nominee",2020,"89,693",8.3,97
"Judas and the Black Messiah","Biography,Drama,History","Nominee",2021,"58,996",7.5,126
"Mank","Biography,Comedy,Drama","Nominee",2020,"65,380",6.9,131
"Minari","Drama","Nominee",2020,"57,976",7.5,115
"Promising Young Woman","Crime,Drama,Thriller","Nominee",2020,"122,269",7.5,113
"Sound of Metal","Drama,Music","Nominee",2019,"102,807",7.8,120
"The Trial of the Chicago 7","Drama,History,Thriller","Nominee",2020,"156,283",7.8,129
